ID	PathwayID	PathwayDescription
Gene_043	hsa04068	FoxO signaling pathway
Gene_043	hsa04070	Phosphatidylinositol signaling system
Gene_043	hsa04071	Sphingolipid signaling pathway
Gene_043	hsa04072	Phospholipase D signaling pathway
Gene_043	hsa04140	Autophagy - animal
Gene_043	hsa04150	mTOR signaling pathway
Gene_043	hsa04151	PI3K-Akt signaling pathway
Gene_043	hsa04152	AMPK signaling pathway
Gene_043	hsa04210	Apoptosis
Gene_043	hsa04211	Longevity regulating pathway
Gene_043	hsa04213	Longevity regulating pathway - multiple species
Gene_043	hsa04218	Cellular senescence
Gene_043	hsa04360	Axon guidance
Gene_043	hsa04370	VEGF signaling pathway
Gene_043	hsa04380	Osteoclast differentiation
Gene_043	hsa04510	Focal adhesion
Gene_043	hsa04550	Signaling pathways regulating pluripotency of stem cells
Gene_043	hsa04611	Platelet activation
Gene_043	hsa04613	Neutrophil extracellular trap formation
Gene_043	hsa04620	Toll-like receptor signaling pathway
Gene_043	hsa04625	C-type lectin receptor signaling pathway
Gene_043	hsa04630	JAK-STAT signaling pathway
Gene_043	hsa04650	Natural killer cell mediated cytotoxicity
Gene_043	hsa04660	T cell receptor signaling pathway
Gene_043	hsa04662	B cell receptor signaling pathway
Gene_043	hsa04664	Fc epsilon RI signaling pathway
Gene_043	hsa04666	Fc gamma R-mediated phagocytosis
Gene_043	hsa04668	TNF signaling pathway
Gene_043	hsa04670	Leukocyte transendothelial migration
Gene_043	hsa04722	Neurotrophin signaling pathway
Gene_043	hsa04725	Cholinergic synapse
Gene_043	hsa04750	Inflammatory mediator regulation of TRP channels
Gene_043	hsa04810	Regulation of actin cytoskeleton
Gene_043	hsa04910	Insulin signaling pathway
Gene_043	hsa04914	Progesterone-mediated oocyte maturation
Gene_043	hsa04915	Estrogen signaling pathway
Gene_043	hsa04917	Prolactin signaling pathway
Gene_043	hsa04919	Thyroid hormone signaling pathway
Gene_043	hsa04923	Regulation of lipolysis in adipocytes
Gene_043	hsa04926	Relaxin signaling pathway
Gene_043	hsa04929	GnRH secretion
Gene_043	hsa04930	Type II diabetes mellitus
Gene_043	hsa04931	Insulin resistance
Gene_043	hsa04932	Non-alcoholic fatty liver disease
Gene_043	hsa04933	AGE-RAGE signaling pathway in diabetic complications
Gene_043	hsa04935	Growth hormone synthesis, secretion and action
Gene_043	hsa04960	Aldosterone-regulated sodium reabsorption
Gene_043	hsa04973	Carbohydrate digestion and absorption
Gene_043	hsa05010	Alzheimer disease
Gene_043	hsa05017	Spinocerebellar ataxia
Gene_043	hsa05020	Prion disease
Gene_043	hsa05100	Bacterial invasion of epithelial cells
Gene_043	hsa05131	Shigellosis
Gene_043	hsa05132	Salmonella infection
Gene_043	hsa05135	Yersinia infection
Gene_043	hsa05142	Chagas disease
Gene_043	hsa05146	Amoebiasis
Gene_043	hsa05160	Hepatitis C
Gene_043	hsa05161	Hepatitis B
Gene_043	hsa05162	Measles
Gene_043	hsa05163	Human cytomegalovirus infection
Gene_043	hsa05164	Influenza A
Gene_043	hsa05165	Human papillomavirus infection
Gene_043	hsa05166	Human T-cell leukemia virus 1 infection
Gene_043	hsa05167	Kaposi sarcoma-associated herpesvirus infection
Gene_043	hsa05168	Herpes simplex virus 1 infection
Gene_043	hsa05169	Epstein-Barr virus infection
Gene_043	hsa05170	Human immunodeficiency virus 1 infection
Gene_043	hsa05171	Coronavirus disease - COVID-19
Gene_043	hsa05200	Pathways in cancer
Gene_043	hsa05203	Viral carcinogenesis
Gene_043	hsa05205	Proteoglycans in cancer
Gene_043	hsa05206	MicroRNAs in cancer
Gene_043	hsa05207	Chemical carcinogenesis - receptor activation
Gene_043	hsa05208	Chemical carcinogenesis - reactive oxygen species
Gene_043	hsa05210	Colorectal cancer
Gene_043	hsa05211	Renal cell carcinoma
Gene_043	hsa05212	Pancreatic cancer
Gene_043	hsa05213	Endometrial cancer
Gene_043	hsa05214	Glioma
Gene_043	hsa05215	Prostate cancer
Gene_043	hsa05218	Melanoma
Gene_043	hsa05220	Chronic myeloid leukemia
Gene_043	hsa05221	Acute myeloid leukemia
Gene_043	hsa05222	Small cell lung cancer
Gene_043	hsa05223	Non-small cell lung cancer
Gene_043	hsa05224	Breast cancer
Gene_043	hsa05225	Hepatocellular carcinoma
Gene_043	hsa05226	Gastric cancer
Gene_043	hsa05230	Central carbon metabolism in cancer
Gene_043	hsa05231	Choline metabolism in cancer
Gene_043	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer
Gene_043	hsa05415	Diabetic cardiomyopathy
Gene_043	hsa05417	Lipid and atherosclerosis
Gene_043	hsa05418	Fluid shear stress and atherosclerosis
Gene_042	hsa04310	Wnt signaling pathway
Gene_051	hsa04310	Wnt signaling pathway
Gene_046	hsa00760	Nicotinate and nicotinamide metabolism
Gene_022	hsa04120	Ubiquitin mediated proteolysis
Gene_022	hsa04141	Protein processing in endoplasmic reticulum
Gene_008	hsa04814	Motor proteins
Gene_029	hsa00030	Pentose phosphate pathway
Gene_029	hsa00480	Glutathione metabolism
Gene_029	hsa03460	Fanconi anemia pathway
Gene_067	hsa03460	Fanconi anemia pathway
Gene_049	hsa03460	Fanconi anemia pathway
Gene_065	hsa04080	Neuroactive ligand-receptor interaction
Gene_036	hsa04210	Apoptosis
Gene_028	hsa04146	Peroxisome
Gene_002	hsa04610	Complement and coagulation cascades
Gene_002	hsa05150	Staphylococcus aureus infection
Gene_002	hsa05171	Coronavirus disease - COVID-19
Gene_002	hsa04610	Complement and coagulation cascades
Gene_002	hsa05150	Staphylococcus aureus infection
Gene_002	hsa05171	Coronavirus disease - COVID-19
Gene_020	hsa00270	Cysteine and methionine metabolism
Gene_020	hsa00330	Arginine and proline metabolism
Gene_020	hsa00480	Glutathione metabolism
Gene_045	hsa03018	RNA degradation
Gene_062	hsa01521	EGFR tyrosine kinase inhibitor resistance
Gene_062	hsa01522	Endocrine resistance
Gene_062	hsa04012	ErbB signaling pathway
Gene_062	hsa04066	HIF-1 signaling pathway
Gene_062	hsa04072	Phospholipase D signaling pathway
Gene_062	hsa04136	Autophagy - other
Gene_062	hsa04140	Autophagy - animal
Gene_062	hsa04150	mTOR signaling pathway
Gene_062	hsa04151	PI3K-Akt signaling pathway
Gene_062	hsa04152	AMPK signaling pathway
Gene_062	hsa04211	Longevity regulating pathway
Gene_062	hsa04213	Longevity regulating pathway - multiple species
Gene_062	hsa04218	Cellular senescence
Gene_062	hsa04371	Apelin signaling pathway
Gene_062	hsa04613	Neutrophil extracellular trap formation
Gene_062	hsa04630	JAK-STAT signaling pathway
Gene_062	hsa04659	Th17 cell differentiation
Gene_062	hsa04714	Thermogenesis
Gene_062	hsa04910	Insulin signaling pathway
Gene_062	hsa04919	Thyroid hormone signaling pathway
Gene_062	hsa04920	Adipocytokine signaling pathway
Gene_062	hsa04930	Type II diabetes mellitus
Gene_062	hsa04931	Insulin resistance
Gene_062	hsa04935	Growth hormone synthesis, secretion and action
Gene_062	hsa05010	Alzheimer disease
Gene_062	hsa05014	Amyotrophic lateral sclerosis
Gene_062	hsa05016	Huntington disease
Gene_062	hsa05017	Spinocerebellar ataxia
Gene_062	hsa05022	Pathways of neurodegeneration - multiple diseases
Gene_062	hsa05131	Shigellosis
Gene_062	hsa05163	Human cytomegalovirus infection
Gene_062	hsa05165	Human papillomavirus infection
Gene_062	hsa05167	Kaposi sarcoma-associated herpesvirus infection
Gene_062	hsa05168	Herpes simplex virus 1 infection
Gene_062	hsa05170	Human immunodeficiency virus 1 infection
Gene_062	hsa05200	Pathways in cancer
